"time","SH","EH","IH","RH","AV","SV","EV","IV","Inc","IncCS","R0","Vls","EIC"
293.1875,270000,0,0,0,1571927.56747741,1821776.71292557,0,0,0,0,2.15849638700945,12.6396047256602,8.92290484625608
293.25,270000,0,0,0,1572551.37168687,1818315.19827264,0,0,0,0,2.15148527951592,12.6436149456116,8.92498837653501
293.3125,270000,0,0,0,1573275.86849547,1814869.96012851,0,0,0,0,2.14449858177462,12.6478229855397,8.92715347867193
293.375,270000,0,0,0,1574078.26654272,1811447.58060795,0,0,0,0,2.13744442894965,12.6522046081872,8.93018827204837
293.4375,270000,0,0,0,1574967.7678405,1808039.33088479,0,0,0,0,2.13033520398621,12.6566887214118,8.933039196613
293.5,270000,0,0,0,1575952.07081175,1804645.43677137,0,0,0,0,2.12314082738763,12.6612693973764,8.93592612668014
293.5625,270000,0,0,0,1577022.53558152,1801264.32280766,0,0,0,0,2.11572036770396,12.665928383774,8.93964348281028
293.625,270000,0,0,0,1578179.69016629,1797888.81942049,0,0,0,0,2.10818797797976,12.6705874209953,8.94313561574731
293.6875,270000,0,0,0,1579389.53040226,1794526.58490182,0,0,0,0,2.10049867758182,12.6751855549842,8.94662583927459
293.75,270000,0,0,0,1580652.8105404,1791177.58128997,0,0,0,0,2.09260618085314,12.6797138779925,8.9509144353156
293.8125,270000,0,0,0,1581948.41368387,1787841.16294773,0,0,0,0,2.08456470535206,12.6841155467107,8.95494319849139
293.875,270000,0,0,0,1583271.14794171,1784517.21309282,0,0,0,0,2.07640858320935,12.6883855747012,8.95893847969523
293.9375,270000,0,0,0,1584603.69191628,1781204.87636832,0,0,0,0,2.06803875688252,12.692458078621,8.96370606192461
294,270000,0,0,0,1585937.33888853,1777903.25948692,0,0,0,0,2.05954855734807,12.6962711386641,8.96839634595895
294.0625,270000,0,0,0,1587273.0494089,1774609.95881736,0,0,0,0,2.05084306219275,12.6997792918721,8.9738213818656
294.125,270000,0,0,0,1588600.21197958,1771318.31342511,0,0,0,0,2.04204441586183,12.7030010229387,8.97891773150521
294.1875,270000,0,0,0,1589911.51174591,1768036.22761376,0,0,0,0,2.03309881918012,12.7059283074029,8.98391781689226
294.25,270000,0,0,0,1591190.29364424,1764762.17709241,0,0,0,0,2.02396566284239,12.7084567285045,8.9896384739767
294.3125,270000,0,0,0,1592437.91666569,1761495.87733494,0,0,0,0,2.01471956584581,12.7105978739271,8.9950125340147
294.375,270000,0,0,0,1593639.81079839,1758236.46189146,0,0,0,0,2.00534524481327,12.7123142514441,9.00027446358357
