"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
156.3125,18.3315,0.725,0,0.0552,0.018,1.6387,0.0447,0.4349,0.3664,0.019,0.5579,0.7324,0
156.375,18.3426,0.7241,0,0.0553,0.018,1.6444,0.0448,0.4358,0.3672,0.019,0.5588,0.7328,0
156.4375,18.3527,0.723,0,0.0555,0.0181,1.6495,0.0448,0.4366,0.3679,0.019,0.5599,0.7331,0
156.5,18.3616,0.7218,0,0.0556,0.0181,1.6541,0.0449,0.4373,0.3686,0.019,0.5611,0.7334,0
156.5625,18.3694,0.7206,0,0.0557,0.0182,1.6582,0.0449,0.4379,0.3691,0.019,0.5623,0.7337,0
156.625,18.3761,0.7194,0,0.0558,0.0182,1.6616,0.0449,0.4385,0.3696,0.019,0.5634,0.7339,0
156.6875,18.3817,0.7183,0,0.0558,0.0182,1.6645,0.045,0.4389,0.37,0.019,0.5646,0.7341,0
156.75,18.3862,0.7172,0,0.0559,0.0183,1.6668,0.045,0.4393,0.3704,0.019,0.5657,0.7342,0
156.8125,18.3895,0.7161,0,0.0559,0.0183,1.6685,0.045,0.4396,0.3706,0.019,0.5668,0.7343,0
156.875,18.3917,0.715,0,0.056,0.0183,1.6697,0.045,0.4397,0.3708,0.019,0.5678,0.7344,0
156.9375,18.3929,0.714,0,0.056,0.0183,1.6703,0.045,0.4398,0.3708,0.019,0.5688,0.7344,0
157,18.3929,0.713,0,0.056,0.0183,1.6703,0.045,0.4398,0.3708,0.019,0.5699,0.7344,0
157.0625,18.3917,0.712,0,0.056,0.0183,1.6697,0.045,0.4397,0.3708,0.019,0.5708,0.7344,0
157.125,18.3895,0.711,0,0.0559,0.0183,1.6685,0.045,0.4396,0.3706,0.019,0.5718,0.7343,0
157.1875,18.3862,0.7101,0,0.0559,0.0183,1.6668,0.045,0.4393,0.3704,0.019,0.5727,0.7342,0
157.25,18.3817,0.7092,0,0.0558,0.0182,1.6645,0.045,0.4389,0.37,0.019,0.5736,0.7341,0
157.3125,18.3761,0.7083,0,0.0558,0.0182,1.6616,0.0449,0.4385,0.3696,0.019,0.5745,0.7339,0
157.375,18.3694,0.7074,0,0.0557,0.0182,1.6582,0.0449,0.4379,0.3691,0.019,0.5754,0.7337,0
157.4375,18.3616,0.7066,0,0.0556,0.0181,1.6541,0.0449,0.4373,0.3686,0.019,0.5762,0.7334,0
157.5,18.3527,0.7058,0,0.0555,0.0181,1.6495,0.0448,0.4366,0.3679,0.019,0.577,0.7331,0
157.5625,18.3449,0.7049,0,0.0554,0.018,1.6455,0.0448,0.436,0.3673,0.019,0.5779,0.7329,0
157.625,18.3382,0.704,0,0.0553,0.018,1.6421,0.0448,0.4354,0.3669,0.019,0.5787,0.7326,0
157.6875,18.3326,0.7031,0,0.0552,0.018,1.6392,0.0448,0.435,0.3664,0.019,0.5797,0.7324,0
157.75,18.3281,0.7021,0,0.0551,0.018,1.637,0.0447,0.4346,0.3661,0.019,0.5806,0.7323,0
157.8125,18.3248,0.7011,0,0.0551,0.0179,1.6352,0.0447,0.4344,0.3659,0.019,0.5816,0.7322,0
157.875,18.3225,0.7001,0,0.0551,0.0179,1.6341,0.0447,0.4342,0.3657,0.019,0.5826,0.7321,0
157.9375,18.3214,0.699,0,0.0551,0.0179,1.6335,0.0447,0.4341,0.3656,0.019,0.5837,0.7321,0
158,18.3214,0.6979,0,0.0551,0.0179,1.6335,0.0447,0.4341,0.3656,0.019,0.5848,0.7321,0
158.0625,18.3225,0.6967,0,0.0551,0.0179,1.6341,0.0447,0.4342,0.3657,0.019,0.586,0.7321,0
158.125,18.3248,0.6956,0,0.0551,0.0179,1.6352,0.0447,0.4344,0.3659,0.019,0.5872,0.7322,0
158.1875,18.3281,0.6943,0,0.0551,0.018,1.637,0.0447,0.4346,0.3661,0.019,0.5884,0.7323,0
158.25,18.3326,0.6931,0,0.0552,0.018,1.6392,0.0448,0.435,0.3664,0.019,0.5896,0.7324,0
158.3125,18.3382,0.6917,0,0.0553,0.018,1.6421,0.0448,0.4354,0.3669,0.019,0.591,0.7326,0
158.375,18.3449,0.6904,0,0.0554,0.018,1.6455,0.0448,0.436,0.3673,0.019,0.5923,0.7329,0
